Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG,npxG,xA,npxG+xA,xG_p90,xA_p90,xG+xA_p90,npxG_p90,npxG+xA_p90
Ike Ugbo,ca CAN,FW,22,14,11,814,9,5,0,4,1,1,0,0,0.55,0,0.55,0.44,0.44,4.3,3.5,0.4,3.9,0.47,0.04,0.51,0.39,0.43
Gerson Rodrigues,lu LUX,FW,26,12,9,848,9.4,1,1,1,0,0,6,0,0.11,0.11,0.21,0.11,0.21,2.6,2.6,0.2,2.8,0.28,0.03,0.3,0.28,0.3
Dylan Chambost,fr FRA,MF,23,19,9,753,8.4,0,1,0,0,0,0,0,0,0.12,0.12,0,0.12,0.5,0.5,0.6,1.1,0.06,0.07,0.13,0.06,0.13
Jessy Moulin,fr FRA,GK,35,7,7,630,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebo Mothiba,za RSA,FW,25,13,5,522,5.8,2,0,1,1,1,1,0,0.34,0,0.34,0.17,0.17,2.1,1.3,0.8,2.2,0.36,0.15,0.51,0.23,0.38
Karim Azamoum,fr FRA,DF,31,7,4,388,4.3,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Yasser Larouci,dz ALG,DF,20,12,2,341,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05
Brandon Domingues,fr FRA,MF,21,11,1,231,2.6,1,0,1,0,0,0,0,0.39,0,0.39,0.39,0.39,0.9,0.9,0.3,1.2,0.35,0.12,0.47,0.35,0.47
Nassim Chadli,fr FRA,FW,20,8,1,96,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.19,0.03,0.21,0.19,0.21
Philippe Sandler,nl NED,DF,24,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suk Hyun-jun,kr KOR,FW,30,9,0,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.5,0.9,0.22,0.28,0.5,0.22,0.5
Eric N'Jo,fr FRA,DF,17,2,0,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
Banhie Zoukrou,fr FRA,DF,18,4,0,77,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Levi Lumeka,eng ENG,FW,22,5,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadou Camara,fr FRA,FW,20,3,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.16,0,0.16,0.16,0.16
Mykola Kukharevych,ua UKR,FW,20,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.45,0,0.45,0.45,0.45
Patrick Roberts,eng ENG,DF,24,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1.19,0,1.19,1.19,1.19
Derek Mazou-Sacko,fr FRA,MF,16,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Bombo,cf CTA,MF,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bachir Diop,fr FRA,FW,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Gassama,fr FRA,DF,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathis Hamdi,fr FRA,DF,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Ilić,rs SRB,MF,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Kohon,fr FRA,DF,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip Krastev,bg BUL,MF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Lefebvre,fr FRA,FW,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metinho,br BRA,MF,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Mutombo,fr FRA,DF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas Namri,fr FRA,MF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastien Renot,fr FRA,GK,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lassine Soumaoro,ml MLI,DF,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
